sim_ms,mote_id,src,R,Rhat,e,v1,v2,v3,v4,v5,v6,v7,AC,ML,t,type,action
24928,1,30,768,768,0,0,0,0,0,0,0,0,0,0,24,detection,
24950,2,30,768,768,0,0,0,0,0,0,0,0,0,0,24,detection,
24966,3,30,768,768,0,0,0,0,0,0,0,0,0,0,24,detection,
24991,22,30,768,768,0,0,0,0,0,0,0,0,0,0,24,detection,
24991,10,30,768,768,0,0,0,0,0,0,0,0,0,0,24,detection,
24991,16,30,768,768,0,0,0,0,0,0,0,0,0,0,24,detection,
24995,4,30,768,768,0,0,0,0,0,0,0,0,0,0,24,detection,
24995,21,30,768,768,0,0,0,0,0,0,0,0,0,0,24,detection,
25001,18,30,768,768,0,0,0,0,0,0,0,0,0,0,25,detection,
25014,7,30,768,768,0,0,0,0,0,0,0,0,0,0,25,detection,
25029,17,30,768,768,0,0,0,0,0,0,0,0,0,0,25,detection,
25035,12,30,768,768,0,0,0,0,0,0,0,0,0,0,25,detection,
25052,9,30,768,768,0,0,0,0,0,0,0,0,0,0,25,detection,
25052,8,30,768,768,0,0,0,0,0,0,0,0,0,0,25,detection,
25293,1,7,768,768,0,0,0,0,0,0,0,0,0,0,25,detection,
25301,8,7,768,768,0,0,0,0,0,0,0,0,0,0,25,detection,
25306,9,7,768,768,0,0,0,0,0,0,0,0,0,0,25,detection,
25327,2,7,768,768,0,0,0,0,0,0,0,0,0,0,25,detection,
25340,3,7,768,768,0,0,0,0,0,0,0,0,0,0,25,detection,
25343,20,7,768,768,0,0,0,0,0,0,0,0,0,0,25,detection,
25370,16,7,768,768,0,0,0,0,0,0,0,0,0,0,25,detection,
25379,18,7,768,768,0,0,0,0,0,0,0,0,0,0,25,detection,
25464,1,3,768,768,0,0,0,0,0,0,0,0,0,0,25,detection,
25492,22,3,768,768,0,0,0,0,0,0,0,0,0,0,25,detection,
25496,4,3,768,768,0,0,0,0,0,0,0,0,0,0,25,detection,
25496,21,3,768,768,0,0,0,0,0,0,0,0,0,0,25,detection,
25497,10,3,768,768,0,0,0,0,0,0,0,0,0,0,25,detection,
25506,18,3,768,768,0,0,0,0,0,0,0,0,0,0,25,detection,
25514,7,3,768,768,0,0,0,0,0,0,0,0,0,0,25,detection,
25554,8,3,768,768,0,0,0,0,0,0,0,0,0,0,25,detection,
25554,9,3,768,768,0,0,0,0,0,0,0,0,0,0,25,detection,
25575,2,3,768,768,0,0,0,0,0,0,0,0,0,0,25,detection,
26144,13,18,512,512,0,0,0,0,0,0,0,0,0,0,26,detection,
26144,1,18,512,512,0,0,0,0,0,0,0,0,0,0,26,detection,
26158,17,18,512,512,0,0,0,0,0,0,0,0,0,0,26,detection,
26162,12,18,512,512,0,0,0,0,0,0,0,0,0,0,26,detection,
26181,9,18,512,512,0,0,0,0,0,0,0,0,0,0,26,detection,
26181,8,18,512,512,0,0,0,0,0,0,0,0,0,0,26,detection,
26233,6,28,768,768,0,0,0,0,0,0,0,0,0,0,26,detection,
26244,16,18,512,512,0,0,0,0,0,0,0,0,0,0,26,detection,
26248,10,18,512,512,0,0,0,0,0,0,0,0,0,0,26,detection,
26248,21,18,512,512,0,0,0,0,0,0,0,0,0,0,26,detection,
26276,1,28,768,768,0,0,0,0,0,0,0,0,0,0,26,detection,
26502,1,20,768,768,0,0,0,0,0,0,0,0,0,0,26,detection,
26514,7,20,768,768,0,0,0,0,0,0,0,0,0,0,26,detection,
26891,1,2,512,512,0,0,0,0,0,0,0,0,0,0,26,detection,
27058,1,24,512,512,0,0,0,0,0,0,0,0,0,0,27,detection,
27078,2,24,512,512,0,0,0,0,0,0,0,0,0,0,27,detection,
27121,16,13,512,512,0,0,0,0,0,0,0,0,0,0,27,detection,
27122,10,13,512,512,0,0,0,0,0,0,0,0,0,0,27,detection,
27126,21,13,512,512,0,0,0,0,0,0,0,0,0,0,27,detection,
27204,2,13,512,512,0,0,0,0,0,0,0,0,0,0,27,detection,
27538,12,16,1024,1024,0,0,0,0,0,0,0,0,0,0,27,detection,
27557,8,16,1024,1024,0,0,0,0,0,0,0,0,0,0,27,detection,
27579,2,16,1024,1024,0,0,0,0,0,0,0,0,0,0,27,detection,
27593,3,16,1024,1024,0,0,0,0,0,0,0,0,0,0,27,detection,
27618,22,16,1024,1024,0,0,0,0,0,0,0,0,0,0,27,detection,
27621,14,16,1024,1024,0,0,0,0,0,0,0,0,0,0,27,detection,
27622,4,16,1024,1024,0,0,0,0,0,0,0,0,0,0,27,detection,
